id,season,manager_name,points_per_game,points_plus,total_transactions,highest_gameweek,lowest_gameweek,fifty_plus_weeks,sub_twenty_weeks,longest_win_streak,longest_loss_streak,longest_undefeated_streak,most_points_gameweek,least_points_gameweek,largest_margin_win,avg_margin_win,avg_margin_loss,imported_at
013482ed-0efe-4c91-926a-e6d98efc4ab7,2021/22,MATT,1.53,42.32,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
05cbda85-00df-4e87-ace1-de0d9d4a96b1,2023/24,MATT,1.50,43.71,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
0ebf0e66-83bf-4298-b75b-b742772638bc,2022/23,IAN,1.61,41.55,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
15e88243-9905-423c-9a13-ce05ddbc580c,2021/22,LENNART,1.66,47.03,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
23e5ae2b-e1d3-43a7-af16-2f5c3a16754b,2023/24,DAVID,1.26,34.05,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
29f1e50e-fc19-4d56-8346-2ba09158fb8a,2024/25,MARCO,1.82,42.84,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
33717765-b782-462e-9c0d-67043bc09974,2023/24,MAX,1.50,42.42,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
462b9c50-37ca-4bbd-8fb5-f0871de96e7b,2023/24,BENJI,1.16,38.45,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
49c4bbc1-f6fa-48b5-8e35-4abc83fd3561,2023/24,HENRI,1.68,43.08,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
5063f89e-8226-4015-aa8c-3be4a41251d5,2021/22,PATRICK,1.11,39.16,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
556845e1-558f-41f9-b682-ee1022db7579,2021/22,MARCO,1.82,46.87,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
598b5ed3-09d8-4ebe-9f18-31deaf2bdd07,2024/25,MAX,1.58,40.55,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
59b1d6b1-a3a1-4aea-b8ec-dc73e2b6d9f7,2022/23,PATRICK,1.68,44.26,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
5f09bc72-456a-4146-840f-8fa65762cac5,2022/23,MAX,0.97,36.82,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
642251f0-2e4b-427c-9f46-3b6a2544bc38,2024/25,PATRICK,1.89,45.18,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
6442a9f2-192c-4822-806e-3520af25f9f3,2022/23,CHRIS,1.37,42.40,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
663993fe-a52c-4c47-a032-5286c31da260,2022/23,MARCO,1.34,40.16,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
7a00cd78-62ac-4d57-849e-31f9cafb4562,2024/25,CHRIS,1.68,41.40,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
7d6cb1a5-109c-432b-a617-d8c0f69fecc1,2024/25,LENNART,1.13,34.26,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
7f516095-20b9-4689-b2c7-efa8be81605f,2021/22,IAN,1.68,40.66,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
8f5cb168-f2b5-4320-bc95-96f481844da4,2023/24,MARCO,1.42,42.18,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
9895fe91-64f2-42c8-8ace-f03ad74e11b2,2023/24,IAN,1.32,40.34,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
a313ac85-63a8-4062-84ef-4339bc6d4a61,2021/22,CHRIS,1.34,40.47,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
af8f1f41-d75a-45a5-b832-16c3297e7bf6,2021/22,MAX,0.84,40.61,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
b24eb48e-2843-49e7-8682-4c27da4b05c9,2023/24,PATRICK,1.97,45.76,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
b342c67c-cd5f-42eb-b6a3-3929162b40b6,2024/25,HENRI,0.89,34.74,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
b8b5202a-3fd7-47e9-b117-265145c2ca6a,2022/23,DAVID,1.58,40.63,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
be8fe906-f761-4aad-8ae4-ef00fdc264b8,2024/25,DAVID,1.42,39.97,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
ce401ac3-ea2f-4107-a0c3-abfd578e8a20,2022/23,LENNART,1.76,42.58,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
d3256327-1aa8-4035-984d-47fdc12f06bd,2023/24,CHRIS,1.42,41.50,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
da66c059-6fab-4aa2-92ef-5148f1a93653,2022/23,MATT,2.13,46.79,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
e2c20a4e-5fdb-44ee-b213-06ee39ad6582,2024/25,MATT,1.50,43.40,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
e65d9399-6bbb-44a7-beea-aab07847b753,2021/22,BENJI,1.82,42.18,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
e8274f2b-abe8-44ee-bc6d-e6e00611fab6,2022/23,BENJI,1.37,37.32,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
e965db2d-7203-4c24-a2fd-dc8186403b9c,2022/23,HENRI,1.58,39.90,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
f5e43824-85e8-4cf6-bfe2-21cc994c4e4a,2024/25,BENJI,1.18,38.37,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
fad6f858-cc7c-4f0b-b546-1b521b9038c3,2021/22,DAVID,1.34,40.05,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
fbba1bbd-2924-45b1-8aa3-14a249adfbe7,2021/22,HENRI,1.82,45.63,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00
fdfa8cdd-fd27-462f-bba4-514d6173bf58,2024/25,IAN,1.84,42.66,,,,,,,,,,,,,,2026-01-26 21:18:49.848883+00